molecule_chembl_id,Smiles,standard_type,standard_value,standard_units,assay_type,assay_organism,target_organism,pIC50
CHEMBL484897,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2cccc(Cl)c2F)C1,IC50,0.73,nM,B,Homo sapiens,Homo sapiens,9.137
CHEMBL2024249,COCCCC[C@@](O)(c1cccc(Cl)c1F)[C@@H]1CCCN(C(=O)NC[C@@H](N)CC2CCCCC2)C1,IC50,2.2,nM,B,Homo sapiens,Homo sapiens,8.658
CHEMBL605408,COC(=O)NCCO[C@@H](c1cccc(Cl)c1)[C@@H]1CCCN(C(=O)N[C@H](CN)CC2CCCCC2)C1,IC50,2.6,nM,B,Homo sapiens,Homo sapiens,8.585
CHEMBL1092186,Cc1cc(Cl)c(OCCCc2ccc(CC(CN)C(=O)N(Cc3cccc(Cl)c3Cl)C3CC3)cc2)c(Cl)c1,IC50,0.4,nM,B,Homo sapiens,Homo sapiens,9.398
CHEMBL1093934,Cc1cc(Cl)c(OCCCc2ccc(C[C@@H](CN)C(=O)N(Cc3cc(CCCC#N)ccc3Cl)C3CC3)cc2)c(Cl)c1,IC50,0.11,nM,B,Homo sapiens,Homo sapiens,9.959
CHEMBL1076449,O=C(C1=C(c2ccc(CCCOc3c(F)ccc(F)c3Cl)cc2)C[C@H]2CC[C@H]1N2)N(Cc1cccc(Cl)c1Cl)C1CC1,IC50,47.0,nM,B,Homo sapiens,Homo sapiens,7.328
CHEMBL1076453,COc1cccc(CN(C(=O)C2=C(c3ccc(CCCOc4c(F)ccc(F)c4Cl)cc3)C[C@H]3CNC[C@H]2N3)C2CC2)c1C,IC50,54.0,nM,B,Homo sapiens,Homo sapiens,7.268
CHEMBL564448,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)CN(C(=O)c1ccc(OC)c(CCNC(=O)OC)c1)C(C)C,IC50,100.0,nM,B,Homo sapiens,Homo sapiens,7.0
CHEMBL4113083,COCCCn1nc(C)c2c(Cl)cc([C@@H](C)N(C(=O)[C@H]3CNCCO3)C3CC3)cc21,IC50,1.4,nM,B,Homo sapiens,Homo sapiens,8.854
CHEMBL3892067,COCCCOc1cc([C@H](C)N(C(=O)[C@H]2CNCCO2)C2CC2)cc2occc12,IC50,30.0,nM,B,Homo sapiens,Homo sapiens,7.523
CHEMBL4108090,COCCCOc1cc(OCCCOC)cc([C@@H](C)N(C(=O)[C@H]2CNCCO2)C2CC2)c1,IC50,8.5,nM,B,Homo sapiens,Homo sapiens,8.071
CHEMBL4114599,COc1cc([C@@H](C)N(C(=O)[C@H]2CNCCO2)C2CC2)nc2ccccc12,IC50,4.2,nM,B,Homo sapiens,Homo sapiens,8.377
CHEMBL3927919,COCCCOc1cc([C@H](C)N(C(=O)[C@H]2CNCCO2)C2CC2)cc2c1CCO2,IC50,35.0,nM,B,Homo sapiens,Homo sapiens,7.456
