molecule_chembl_id,Smiles,standard_type,standard_value,standard_units,assay_type,assay_organism,target_organism,pIC50
CHEMBL50412,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CCS(=O)(=O)C(C)C,IC50,77.0,nM,B,Homo sapiens,Homo sapiens,7.114
CHEMBL537666,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCC(N)=O)C(C)C)ccc1OC.Cl,IC50,7.0,nM,B,Homo sapiens,Homo sapiens,8.155
CHEMBL538092,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCN2CCC(O)CC2)C(C)C)ccc1OC.Cl,IC50,10.0,nM,B,Homo sapiens,Homo sapiens,8.0
CHEMBL536982,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCN2CCSCC2)C(C)C)ccc1OC.Cl,IC50,2.0,nM,B,Homo sapiens,Homo sapiens,8.699
CHEMBL536748,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCN2CCOCC2)C(C)C)ccc1OC.Cl,IC50,2.0,nM,B,Homo sapiens,Homo sapiens,8.699
CHEMBL534728,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCCO)C(C)C)ccc1OC.Cl,IC50,2.0,nM,B,Homo sapiens,Homo sapiens,8.699
CHEMBL537655,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCOCC)c1)C(C)C.Cl,IC50,3.0,nM,B,Homo sapiens,Homo sapiens,8.523
CHEMBL535408,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCC(=O)OC)c1)C(C)C.Cl,IC50,4.0,nM,B,Homo sapiens,Homo sapiens,8.398
CHEMBL537888,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCNC(C)=O)C(C)C)ccc1OC.Cl,IC50,0.3,nM,B,Homo sapiens,Homo sapiens,9.523
CHEMBL537668,CNC(=O)CCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCOC)c1)C(C)C.Cl,IC50,3.0,nM,B,Homo sapiens,Homo sapiens,8.523
CHEMBL557016,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCCCOC(C)=O)C(C)C)ccc1OC.Cl,IC50,6.0,nM,B,Homo sapiens,Homo sapiens,8.222
CHEMBL535853,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(C(C)(C)C)c(OCc2ccncc2)c1)C(C)C.Cl,IC50,26.0,nM,B,Homo sapiens,Homo sapiens,7.585
CHEMBL557369,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(C(C)(C)C)c(OCS(C)(=O)=O)c1)C(C)C.Cl,IC50,13.0,nM,B,Homo sapiens,Homo sapiens,7.886
CHEMBL535185,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCCc2nnn[nH]2)C(C)C)ccc1OC.Cl,IC50,4.0,nM,B,Homo sapiens,Homo sapiens,8.398
CHEMBL300724,CCS(=O)(=O)CC[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,IC50,28.0,nM,B,Homo sapiens,Homo sapiens,7.553
CHEMBL24315,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CCCN1C(=O)CSc2ccncc21)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(=O)NCCCn1ccnc1,IC50,14.0,nM,B,Homo sapiens,Homo sapiens,7.854
CHEMBL3143476,CC[C@H](C)[C@H](NC(=O)[C@@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)N(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CC[C@H](N)C(=O)O)C(C)C)C(=O)NCc1ccccn1,IC50,0.29,nM,B,Homo sapiens,Homo sapiens,9.538
CHEMBL1790497,CC[C@H](C)[C@H](NC(=O)[C@@H](C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)N(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)OC(C)(C)C)C(C)C)C(=O)NCc1ccccn1,IC50,2.6000000000000003e-10,nM,B,Homo sapiens,Homo sapiens,18.585
CHEMBL1076460,O=C(C1=C(c2ccc(CCCOc3c(F)ccc(F)c3Cl)cc2)C(F)(F)CNC1)N(Cc1cccc(Cl)c1Cl)C1CC1,IC50,800.0,nM,B,Homo sapiens,Homo sapiens,6.097
CHEMBL1076453,COc1cccc(CN(C(=O)C2=C(c3ccc(CCCOc4c(F)ccc(F)c4Cl)cc3)C[C@H]3CNC[C@H]2N3)C2CC2)c1C,IC50,1.37,nM,B,Homo sapiens,Homo sapiens,8.863
CHEMBL1076461,COc1cccc(CN(C(=O)C2=C(c3ccc(CCCOc4c(F)ccc(F)c4Cl)cc3)C[C@H]3COC[C@H]2N3)C2CC2)c1C,IC50,0.49,nM,B,Homo sapiens,Homo sapiens,9.31
CHEMBL560682,CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](CNC(C)C)NC(=O)c1ccc(OC)c(OCCCOC)c1,IC50,670.0,nM,B,Homo sapiens,Homo sapiens,6.174
CHEMBL46607,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@H]1[C@H](C(=O)N2CCOCC2)[C@@H]1c1ccccc1,IC50,20.0,nM,B,Homo sapiens,Homo sapiens,7.699
CHEMBL1076449,O=C(C1=C(c2ccc(CCCOc3c(F)ccc(F)c3Cl)cc2)C[C@H]2CC[C@H]1N2)N(Cc1cccc(Cl)c1Cl)C1CC1,IC50,0.55,nM,B,Homo sapiens,Homo sapiens,9.26
CHEMBL1076445,O=C(C1=C(c2ccc(CCCOc3c(F)ccc(F)c3Cl)cc2)C[C@H]2CS(=O)(=O)C[C@H]1N2)N(Cc1cccc(Cl)c1Cl)C1CC1,IC50,6.4,nM,B,Homo sapiens,Homo sapiens,8.194
CHEMBL1076444,O=C(C1=C(c2ccc(CCCOc3c(F)ccc(F)c3Cl)cc2)C[C@H]2CCC[C@H]1N2)N(Cc1cccc(Cl)c1Cl)C1CC1,IC50,1.1,nM,B,Homo sapiens,Homo sapiens,8.959
CHEMBL1076447,COc1cccc(CN(C(=O)C2=C(c3ccc(CCCOc4c(F)ccc(F)c4Cl)cc3)C[C@H]3C[S+]([O-])C[C@H]2N3)C2CC2)c1C,IC50,64.0,nM,B,Homo sapiens,Homo sapiens,7.194
CHEMBL53139,CCCCNC(=O)[C@@H](CC(O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)C(Cc1ccccc1)CS(=O)(=O)C(C)(C)C)C(C)C,IC50,2.0,nM,B,Homo sapiens,Homo sapiens,8.699
CHEMBL75117,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1,IC50,0.89,nM,B,Homo sapiens,Homo sapiens,9.051
CHEMBL1092756,NCC(Cc1ccc(CCCOc2c(F)ccc(F)c2Cl)cc1)C(=O)N(Cc1cccc(Cl)c1Cl)C1CC1,IC50,0.79,nM,B,Homo sapiens,Homo sapiens,9.102
CHEMBL1090982,O=C(C(CNCc1ccccc1)Cc1ccc(CCCOc2c(F)ccc(F)c2Cl)cc1)N(Cc1cccc(Cl)c1Cl)C1CC1,IC50,260.0,nM,B,Homo sapiens,Homo sapiens,6.585
CHEMBL297628,CC(C)S(=O)(=O)CC[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)CC(C)(C)C,IC50,19.0,nM,B,Homo sapiens,Homo sapiens,7.721
CHEMBL3144412,CC(C)C[C@H](NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,IC50,45.0,nM,B,Homo sapiens,Homo sapiens,7.347
CHEMBL393364,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(c1cccc(Cl)c1)O2,IC50,7.0,nM,B,Homo sapiens,Homo sapiens,8.155
CHEMBL329818,CCOC(=O)CCCCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)CCc1ccccn1,IC50,0.75,nM,B,Homo sapiens,Homo sapiens,9.125
CHEMBL537211,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)N[C@@H](C)CC(N)=O)C(C)C)C(C)C)ccc1OC.Cl,IC50,1.0,nM,B,Homo sapiens,Homo sapiens,9.0
CHEMBL536761,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)N[C@@H](CO)C(N)=O)C(C)C)C(C)C)ccc1OC.Cl,IC50,2.0,nM,B,Homo sapiens,Homo sapiens,8.699
CHEMBL591579,CCOC(=O)NCCC[C@@](O)(c1cccc(Cl)c1)[C@@H]1CCCN(C(=O)N[C@H](CNC)CC2CCCCC2)C1,IC50,14.0,nM,B,Homo sapiens,Homo sapiens,7.854
CHEMBL536531,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)N[C@@H](C)C(N)=O)C(C)C)C(C)C)ccc1OC.Cl,IC50,4.0,nM,B,Homo sapiens,Homo sapiens,8.398
CHEMBL537433,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCOC)c1)C(C)C.Cl,IC50,38.0,nM,B,Homo sapiens,Homo sapiens,7.42
CHEMBL540886,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCc2ccccc2)c1)C(C)C.Cl,IC50,13.0,nM,B,Homo sapiens,Homo sapiens,7.886
CHEMBL536085,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCC(=O)NC)c1)C(C)C.Cl,IC50,95.0,nM,B,Homo sapiens,Homo sapiens,7.022
CHEMBL497623,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCCOC)c2cccc(Cl)c2Cl)C1,IC50,609.0,nM,B,Homo sapiens,Homo sapiens,6.215
CHEMBL448175,NC(=O)CCC(=O)N1CC2CC(c3ccc(CCCOc4c(F)ccc(F)c4F)cc3)=C(C(=O)N(Cc3ccccc3Cl)C3CC3)C(C1)N2,IC50,0.55,nM,B,Homo sapiens,Homo sapiens,9.26
CHEMBL470878,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(OCCOc4ccccc4Cl)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,4.9,nM,B,Homo sapiens,Homo sapiens,8.31
CHEMBL447104,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(OCCOc4ccccc4)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,8.5,nM,B,Homo sapiens,Homo sapiens,8.071
CHEMBL454711,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(CCCOc4ccccc4Cl)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,1.4,nM,B,Homo sapiens,Homo sapiens,8.854
CHEMBL509480,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)N(Cc3ccnc(C)c3OC)C3CC3)[C@H]3CN(C(C)=O)C[C@@H](C2)N3)cc1,IC50,1.4,nM,B,Homo sapiens,Homo sapiens,8.854
CHEMBL503443,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(OCCOc4c(F)ccc(F)c4Cl)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,34.0,nM,B,Homo sapiens,Homo sapiens,7.469
CHEMBL454711,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(CCCOc4ccccc4Cl)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,188.0,nM,B,Homo sapiens,Homo sapiens,6.726
CHEMBL511054,COc1ccccc1OCCCc1ccc(C2=C(C(=O)N(Cc3cccc(Cl)c3Cl)C3CC3)[C@H]3CN(C(C)=O)C[C@@H](C2)N3)cc1,IC50,19.0,nM,B,Homo sapiens,Homo sapiens,7.721
CHEMBL553558,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCCOC)c1)C(C)C.Cl,IC50,22.0,nM,B,Homo sapiens,Homo sapiens,7.658
CHEMBL3142183,CC[C@H](C)[C@H](NC(=O)C(F)(F)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC1N=CC=N1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1ccccn1,IC50,13.0,nM,B,Homo sapiens,Homo sapiens,7.886
CHEMBL411885,COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COc2ccc3c(c2)N(CCNC(C)=O)CCC3)cc1,IC50,0.4,nM,B,Homo sapiens,Homo sapiens,9.398
CHEMBL46606,CC[C@H]1[C@@H](C(=O)N[C@@H](Cc2cscn2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CC(C)C)[C@@H]1C(=O)N1CCOCC1,IC50,610.0,nM,B,Homo sapiens,Homo sapiens,6.215
CHEMBL193816,COCCCN1C(=O)CCc2ccc(OC[C@H]3CNCC(=O)N3c3ccc(OCCCOCc4ccccc4OC)cc3)cc21,IC50,7.0,nM,B,Homo sapiens,Homo sapiens,8.155
CHEMBL3142170,CC[C@H](C)[C@H](NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CC1N=CC=N1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1ccccn1,IC50,1.7,nM,B,Homo sapiens,Homo sapiens,8.77
CHEMBL3142181,CC[C@H](C)[C@H](NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)N(C)C(=O)OC(C)(C)C)C(=O)NCc1ccccn1,IC50,340.0,nM,B,Homo sapiens,Homo sapiens,6.469
CHEMBL329808,NC1CCN(S(=O)(=O)C[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CCc2ccccn2)CC1,IC50,0.54,nM,B,Homo sapiens,Homo sapiens,9.268
CHEMBL329808,NC1CCN(S(=O)(=O)C[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CCc2ccccn2)CC1,IC50,0.7,nM,B,Homo sapiens,Homo sapiens,9.155
CHEMBL541135,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCCC(=O)O)C(C)C)ccc1OC.Cl,IC50,3.0,nM,B,Homo sapiens,Homo sapiens,8.523
CHEMBL556976,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCN2CCS(=O)(=O)CC2)C(C)C)ccc1OC.Cl,IC50,2.0,nM,B,Homo sapiens,Homo sapiens,8.699
CHEMBL536981,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCCN2CCOCC2)C(C)C)ccc1OC.Cl,IC50,11.0,nM,B,Homo sapiens,Homo sapiens,7.959
CHEMBL536522,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCN2CCCCC2)C(C)C)ccc1OC.Cl,IC50,22.0,nM,B,Homo sapiens,Homo sapiens,7.658
CHEMBL558790,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCO)c1)C(C)C.Cl,IC50,6.0,nM,B,Homo sapiens,Homo sapiens,8.222
CHEMBL537433,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCOC)c1)C(C)C.Cl,IC50,11.0,nM,B,Homo sapiens,Homo sapiens,7.959
CHEMBL535633,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCS(C)(=O)=O)c1)C(C)C.Cl,IC50,50.0,nM,B,Homo sapiens,Homo sapiens,7.301
CHEMBL536521,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCCC(=O)N2CCOCC2)C(C)C)ccc1OC.Cl,IC50,2.0,nM,B,Homo sapiens,Homo sapiens,8.699
CHEMBL537668,CNC(=O)CCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCOC)c1)C(C)C.Cl,IC50,2.0,nM,B,Homo sapiens,Homo sapiens,8.699
CHEMBL394016,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(C(F)(F)F)O2,IC50,17.0,nM,B,Homo sapiens,Homo sapiens,7.77
CHEMBL534728,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCCO)C(C)C)ccc1OC.Cl,IC50,2.0,nM,B,Homo sapiens,Homo sapiens,8.699
CHEMBL306777,CCCCNC(=O)[C@@H](CC(O)C(CC1CCCCC1)NC(=O)Cc1nnc2c(CCC)nc(-c3cccnc3)cn12)C(C)C,IC50,26.0,nM,B,Homo sapiens,Homo sapiens,7.585
CHEMBL74310,CCCc1nc(-c2cccnc2)cn2c(C(Cc3cccnc3)C(=O)NC(CC3CCCCC3)C(O)CC(C(=O)NCCN3CCOCC3)C(C)C)nnc12,IC50,0.4,nM,B,Homo sapiens,Homo sapiens,9.398
CHEMBL307442,CCCCN(C)C(=O)C(CC(O)C(CC1CCCCC1)NC(=O)C(Cc1cccnc1)c1nnc2c(CCC)nc(-c3cccnc3)cn12)C(C)C,IC50,41.0,nM,B,Homo sapiens,Homo sapiens,7.387
CHEMBL265486,CCCc1nc(-c2cccnc2)cn2c(C(Cc3cccnc3)C(=O)NC(CC3CCCCC3)C(O)CC(C(=O)NCCCCO)C(C)C)nnc12,IC50,0.3,nM,B,Homo sapiens,Homo sapiens,9.523
CHEMBL318672,CC(C)(C)S(=O)(=O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)CCc1ccccn1,IC50,0.17,nM,B,Homo sapiens,Homo sapiens,9.77
CHEMBL329818,CCOC(=O)CCCCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)CCc1ccccn1,IC50,0.69,nM,B,Homo sapiens,Homo sapiens,9.161
CHEMBL499857,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2cccc(OC(F)(F)F)c2)C1,IC50,69.0,nM,B,Homo sapiens,Homo sapiens,7.161
CHEMBL519217,COCCCC[C@@](O)(c1cccc(Cl)c1)[C@@H]1CCCN(C(=O)N[C@H](CNCC(F)(F)F)CC2CCCCC2)C1,IC50,46.0,nM,B,Homo sapiens,Homo sapiens,7.337
CHEMBL495587,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2cc(C)ccc2F)C1,IC50,3.5,nM,B,Homo sapiens,Homo sapiens,8.456
CHEMBL1790062,CC[C@@H](C)[C@H](NC(=O)[C@@H](CC(O)[C@H](CC1CCCCC1)NC(=O)[C@@H](CC(=O)O)NC(=O)COc1ccccc1)C(C)C)C(=O)N(C)c1ccccn1,IC50,0.34,nM,B,Homo sapiens,Homo sapiens,9.469
CHEMBL443469,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)N(Cc3ccccc3Cl)C3CC3)[C@H]3CN(C(C)=O)C[C@@H](C2)N3)cc1,IC50,0.77,nM,B,Homo sapiens,Homo sapiens,9.114
CHEMBL508205,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(OCCOc4c(Cl)cc(C)cc4Cl)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,7.1,nM,B,Homo sapiens,Homo sapiens,8.149
CHEMBL352523,COC(=O)C(O)[C@H](CC1CCCCC1)NC(=O)C(CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,IC50,24.0,nM,B,Homo sapiens,Homo sapiens,7.62
CHEMBL76697,CCCc1nc(-c2cccnc2)cn2c(C(Cc3cccnc3)C(=O)NC(CC3CCCCC3)C(O)CC(C(=O)NCCN(C)C)C(C)C)nnc12,IC50,8.6,nM,B,Homo sapiens,Homo sapiens,8.066
CHEMBL75683,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCC(O)CC1,IC50,0.42,nM,B,Homo sapiens,Homo sapiens,9.377
CHEMBL3143478,CC(C)CCNC(=O)[C@@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)N(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CC[C@H](N)C(=O)O)C(C)C,IC50,0.28,nM,B,Homo sapiens,Homo sapiens,9.553
CHEMBL239965,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(c1cccc(F)c1F)O2,IC50,72.0,nM,B,Homo sapiens,Homo sapiens,7.143
CHEMBL49862,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@@H](CC(=O)N1CCOCC1)Cc1ccccc1,IC50,8.3,nM,B,Homo sapiens,Homo sapiens,8.081
CHEMBL353306,COC(=O)C(O)[C@H](CC1CCCCC1)NC(=O)C(CC(C)C)NC(=O)[C@H](Cc1ccccc1)N1Cc2ncccc2C1=O,IC50,207.0,nM,B,Homo sapiens,Homo sapiens,6.684
CHEMBL52833,CCCCNC(=O)[C@@H](CC(O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)C[S+]([O-])C(C)(C)C)C(C)C,IC50,2.0,nM,B,Homo sapiens,Homo sapiens,8.699
CHEMBL1957793,CCOC(=O)NCCc1ccccc1-c1ccc([C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)c(Cl)c1,IC50,11.0,nM,B,Homo sapiens,Homo sapiens,7.959
CHEMBL398584,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(c1cc(F)cc(F)c1)O2,IC50,1.0,nM,B,Homo sapiens,Homo sapiens,9.0
CHEMBL239746,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(c1cc(F)cc(F)c1)O2,IC50,95.0,nM,B,Homo sapiens,Homo sapiens,7.022
CHEMBL54322,CC[C@H](C)[C@H](NC(=O)[C@@H](CC(O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)C(C)(C)C)C(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(N)=O,IC50,20.0,nM,B,Homo sapiens,Homo sapiens,7.699
CHEMBL3897200,CCCCN(C(=O)c1cnc(C(C)(C)C)nc1NCc1ccco1)C1CCCNC1.Cl.Cl,IC50,2.1,nM,B,Homo sapiens,Homo sapiens,8.678
CHEMBL3986004,CC(C)CN(C(=O)c1cnc(C(C)(C)C)nc1NCc1ccco1)[C@@H]1CCCNC1.Cl.Cl,IC50,3.4,nM,B,Homo sapiens,Homo sapiens,8.469
CHEMBL38846,CC(C)Cc1nc(-c2ccccc2)cn2c(CC(=O)NC(CC3CCCCC3)C(=O)C(F)(F)C(=O)NC(CC(C)C)C(=O)NCc3ccccn3)nnc12,IC50,1.9,nM,B,Homo sapiens,Homo sapiens,8.721
CHEMBL313326,CC(C)CCNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)N1C(=O)CC[C@@H](NC(=O)OCc2ccccc2)C(=O)N[C@H](Cc2ccccc2)C1=O,IC50,870.0,nM,B,Homo sapiens,Homo sapiens,6.06
CHEMBL2437490,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(c1ccccc1)CC2,IC50,58.0,nM,B,Homo sapiens,Homo sapiens,7.237
CHEMBL558184,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCN(C)C)C(C)C)ccc1OC.Cl,IC50,12.0,nM,B,Homo sapiens,Homo sapiens,7.921
CHEMBL557788,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCN2C[C@H](C)O[C@H](C)C2)C(C)C)ccc1OC.Cl,IC50,8.0,nM,B,Homo sapiens,Homo sapiens,8.097
CHEMBL537666,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCC(N)=O)C(C)C)ccc1OC.Cl,IC50,7.0,nM,B,Homo sapiens,Homo sapiens,8.155
CHEMBL553558,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCCOC)c1)C(C)C.Cl,IC50,2.0,nM,B,Homo sapiens,Homo sapiens,8.699
CHEMBL77107,CCCc1nc(-c2cccnc2)cn2c(C(Cc3cccnc3)C(=O)NC(CC3CCCCC3)C(O)CC(C(=O)NCc3ccccn3)C(C)C)nnc12,IC50,0.6,nM,B,Homo sapiens,Homo sapiens,9.222
CHEMBL3935225,CCN(C(=O)c1cnc(C(C)C)nc1NCc1ccco1)C1CCCNC1.Cl.Cl,IC50,470.0,nM,B,Homo sapiens,Homo sapiens,6.328
CHEMBL94827,CN(CCN(C)C(=O)N1CCOCC1)C(=O)O[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)CCc1ccccn1,IC50,0.14,nM,B,Homo sapiens,Homo sapiens,9.854
CHEMBL556783,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NC[C@H]2CCC(=O)N2)C(C)C)C(C)C)ccc1OC.Cl,IC50,2.0,nM,B,Homo sapiens,Homo sapiens,8.699
CHEMBL556570,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NC[C@H](C)C(N)=O)C(C)C)C(C)C)ccc1OC.Cl,IC50,1.0,nM,B,Homo sapiens,Homo sapiens,9.0
