molecule_chembl_id,Smiles,standard_type,standard_value,standard_units,assay_type,assay_organism,target_organism
CHEMBL46607,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@H]1[C@H](C(=O)N2CCOCC2)[C@@H]1c1ccccc1,IC50,20.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1076449,O=C(C1=C(c2ccc(CCCOc3c(F)ccc(F)c3Cl)cc2)C[C@H]2CC[C@H]1N2)N(Cc1cccc(Cl)c1Cl)C1CC1,IC50,0.55,nM,B,Homo sapiens,Homo sapiens
CHEMBL1076445,O=C(C1=C(c2ccc(CCCOc3c(F)ccc(F)c3Cl)cc2)C[C@H]2CS(=O)(=O)C[C@H]1N2)N(Cc1cccc(Cl)c1Cl)C1CC1,IC50,6.4,nM,B,Homo sapiens,Homo sapiens
CHEMBL1076444,O=C(C1=C(c2ccc(CCCOc3c(F)ccc(F)c3Cl)cc2)C[C@H]2CCC[C@H]1N2)N(Cc1cccc(Cl)c1Cl)C1CC1,IC50,1.1,nM,B,Homo sapiens,Homo sapiens
CHEMBL1076447,COc1cccc(CN(C(=O)C2=C(c3ccc(CCCOc4c(F)ccc(F)c4Cl)cc3)C[C@H]3C[S+]([O-])C[C@H]2N3)C2CC2)c1C,IC50,64.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL53139,CCCCNC(=O)[C@@H](CC(O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)C(Cc1ccccc1)CS(=O)(=O)C(C)(C)C)C(C)C,IC50,2.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL75117,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1,IC50,0.89,nM,B,Homo sapiens,Homo sapiens
CHEMBL1092756,NCC(Cc1ccc(CCCOc2c(F)ccc(F)c2Cl)cc1)C(=O)N(Cc1cccc(Cl)c1Cl)C1CC1,IC50,0.79,nM,B,Homo sapiens,Homo sapiens
CHEMBL1090982,O=C(C(CNCc1ccccc1)Cc1ccc(CCCOc2c(F)ccc(F)c2Cl)cc1)N(Cc1cccc(Cl)c1Cl)C1CC1,IC50,260.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL297628,CC(C)S(=O)(=O)CC[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)CC(C)(C)C,IC50,19.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL3144412,CC(C)C[C@H](NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,IC50,45.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL393364,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(c1cccc(Cl)c1)O2,IC50,7.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL3142296,CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)[C@@H](O)CO,Inhibition,65.0,%,B,Homo sapiens,Homo sapiens
CHEMBL329818,CCOC(=O)CCCCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)CCc1ccccn1,IC50,0.75,nM,B,Homo sapiens,Homo sapiens
CHEMBL537211,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)N[C@@H](C)CC(N)=O)C(C)C)C(C)C)ccc1OC.Cl,IC50,1.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL536761,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)N[C@@H](CO)C(N)=O)C(C)C)C(C)C)ccc1OC.Cl,IC50,2.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL591579,CCOC(=O)NCCC[C@@](O)(c1cccc(Cl)c1)[C@@H]1CCCN(C(=O)N[C@H](CNC)CC2CCCCC2)C1,IC50,14.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL314620,CC(C)CCNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)N1C(=O)COCC(=O)N[C@@H](Cc2ccccc2)C1=O,IC50,2300.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL536531,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)N[C@@H](C)C(N)=O)C(C)C)C(C)C)ccc1OC.Cl,IC50,4.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL537433,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCOC)c1)C(C)C.Cl,IC50,38.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL540886,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCc2ccccc2)c1)C(C)C.Cl,IC50,13.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL536085,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCC(=O)NC)c1)C(C)C.Cl,IC50,95.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL497623,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCCOC)c2cccc(Cl)c2Cl)C1,IC50,609.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL448175,NC(=O)CCC(=O)N1CC2CC(c3ccc(CCCOc4c(F)ccc(F)c4F)cc3)=C(C(=O)N(Cc3ccccc3Cl)C3CC3)C(C1)N2,IC50,0.55,nM,B,Homo sapiens,Homo sapiens
CHEMBL470878,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(OCCOc4ccccc4Cl)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,4.9,nM,B,Homo sapiens,Homo sapiens
CHEMBL447104,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(OCCOc4ccccc4)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,8.5,nM,B,Homo sapiens,Homo sapiens
CHEMBL454711,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(CCCOc4ccccc4Cl)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,1.4,nM,B,Homo sapiens,Homo sapiens
CHEMBL509480,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)N(Cc3ccnc(C)c3OC)C3CC3)[C@H]3CN(C(C)=O)C[C@@H](C2)N3)cc1,IC50,1.4,nM,B,Homo sapiens,Homo sapiens
CHEMBL503443,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(OCCOc4c(F)ccc(F)c4Cl)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,34.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL454711,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(CCCOc4ccccc4Cl)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,188.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL511054,COc1ccccc1OCCCc1ccc(C2=C(C(=O)N(Cc3cccc(Cl)c3Cl)C3CC3)[C@H]3CN(C(C)=O)C[C@@H](C2)N3)cc1,IC50,19.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL553558,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCCOC)c1)C(C)C.Cl,IC50,22.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL584284,COc1ccc(C2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)cc1C,IC50,59500.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL3142183,CC[C@H](C)[C@H](NC(=O)C(F)(F)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC1N=CC=N1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1ccccn1,IC50,13.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL411885,COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COc2ccc3c(c2)N(CCNC(C)=O)CCC3)cc1,IC50,0.4,nM,B,Homo sapiens,Homo sapiens
CHEMBL46606,CC[C@H]1[C@@H](C(=O)N[C@@H](Cc2cscn2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CC(C)C)[C@@H]1C(=O)N1CCOCC1,IC50,610.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL295507,CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)[C@@H](O)CCSCCc1ccccc1,IC50,4200.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL193816,COCCCN1C(=O)CCc2ccc(OC[C@H]3CNCC(=O)N3c3ccc(OCCCOCc4ccccc4OC)cc3)cc21,IC50,7.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL3142170,CC[C@H](C)[C@H](NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CC1N=CC=N1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1ccccn1,IC50,1.7,nM,B,Homo sapiens,Homo sapiens
CHEMBL3142180,CC[C@H](C)[C@H](NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)C(C)(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1ccccn1,IC50,6800.0,nM,B,Homo sapiens,Homo sapiens
