molecule_chembl_id,Smiles,standard_type,standard_value,standard_units,assay_type,assay_organism,target_organism
CHEMBL444146,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(CCCOc4c(F)ccc(F)c4F)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,0.48,nM,B,Homo sapiens,Homo sapiens
CHEMBL447097,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)N(Cc3cccc(OC)c3C)C3CC3)[C@H]3CN(C(C)=O)C[C@@H](C2)N3)cc1,IC50,0.62,nM,B,Homo sapiens,Homo sapiens
CHEMBL467850,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(CCCOc4ccccc4)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,699.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL496225,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCCOC)c2cccc(F)c2)C1,IC50,58.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL495607,CCOCCCO[C@@H](c1cccc(F)c1)[C@@H]1CCCN(C(=O)N[C@H](CNC)CC2CCCCC2)C1,IC50,11.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL496416,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCO)c2cccc(Cl)c2)C1,IC50,21.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL496417,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2ccccc2)C1,IC50,7.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL519687,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2cccc(F)c2F)C1,IC50,0.14,nM,B,Homo sapiens,Homo sapiens
CHEMBL495809,CCOCCCC[C@@](O)(c1ccccc1)[C@@H]1CCCN(C(=O)N[C@H](CN)CC2CCCCC2)C1,IC50,490.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL499856,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2cccc(C(F)(F)F)c2)C1,IC50,389.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL49460,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@H]1[C@H](Cc2ccccc2)[C@@H]1C(=O)N1CCOCC1,IC50,370.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1824634,CCCc1ccnc2c1c(C(=O)N1CCNCC1)c(Oc1c(C)cccc1C)n2-c1ccccc1,IC50,186.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1824633,CCCc1ccnc2c1c(C(=O)N1CCNCC1)c(Oc1cc(F)ccc1C)n2-c1ccccc1,IC50,1850.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1824629,COc1ccc2c(C(=O)N3CCNCC3)c(Oc3cc(F)ccc3C)n(-c3ccccc3)c2n1,IC50,15.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1824624,O=C(c1c(Cc2ccccc2)n(-c2ccccc2)c2ncccc12)N1CCNCC1,IC50,6410.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1824623,Cc1c(F)cc(F)cc1Oc1c(C(=O)N2CCNCC2)c2cccnc2n1-c1ccccc1,IC50,504.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1824619,O=C(c1c(Oc2ccccc2F)n(-c2ccccc2)c2ncccc12)N1CCNCC1,IC50,5060.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1824927,O=C(c1c(Oc2cccc(F)c2F)n(-c2ccccc2)c2cccnc12)N1CCNCC1,IC50,310.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1824933,Cc1cc(F)c(F)cc1Oc1c(C(=O)N2CCNCC2)c2ncccc2n1-c1ccccc1,IC50,322.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1824943,Cc1c(F)cccc1Cc1c(C(=O)N2CCNCC2)c2ncccc2n1-c1ccccc1,IC50,12.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1824953,Cc1cccc(C)c1Oc1c(C(=O)N2CCN[C@@H](C(C)C)C2)c2ncccc2n1-c1ccccc1,IC50,2710.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL435178,CC[C@H](C)[C@H](NC(=O)[C@@H](CC(O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(N)=O,IC50,15.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1825182,O=C(c1c(Cc2ccccc2)n(-c2ccccc2)c2cnccc12)N1CCNCC1,IC50,761.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1796072,Cn1ccc([C@H]2CCNC[C@@H]2C(=O)N(Cc2c[nH]c3cccc(F)c23)C2CC2)cc1=O,IC50,12.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1796078,Cn1ccc([C@H]2CCNC[C@@H]2C(=O)N(Cc2cn(Cc3ccncc3)c3cccc(F)c23)C2CC2)cc1=O,IC50,0.53,nM,B,Homo sapiens,Homo sapiens
CHEMBL1796061,COCCCc1cc(C)c(C)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c1,IC50,0.6,nM,B,Homo sapiens,Homo sapiens
CHEMBL1796067,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c2ncccc2c1,IC50,2.2,nM,B,Homo sapiens,Homo sapiens
CHEMBL1796070,COCCCn1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c2c(Cl)cccc21,IC50,0.12,nM,B,Homo sapiens,Homo sapiens
CHEMBL3400445,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NC(=O)CCc2ccccc2)C(C)C)ccc1OC,IC50,260.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1824960,Cc1cnc2c(C(=O)N3CCNCC3)c(Oc3cc(F)ccc3C)n(-c3ccccc3)c2c1,IC50,14.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1824964,Cc1cnc2c(C(=O)N3CCNCC3)c(Cc3cccc(F)c3C)n(-c3ccccc3)c2c1,IC50,9.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL3400435,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NCc2ccc3ccccc3c2)C(C)C)ccc1OC,IC50,25.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL3403994,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2OC(=O)Nc2cccc(OC)c2)C(C)C)ccc1OC,IC50,300.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL2387552,CC[C@H](C[C@H](O)[C@@H](N)CN1CC(=O)N(c2ccccc2Cl)CC1(C)C)C(=O)Nc1ccc(F)cc1.O=C(O)/C=C/C(=O)O,IC50,1.6,nM,B,Homo sapiens,Homo sapiens
CHEMBL2387544,CC(C)[C@H](C[C@H](O)[C@@H](N)CN1CC(=O)N(c2ccccc2Cl)CC1(C)C)C(=O)N[C@H]1CC[C@H](O)CC1.O=C(O)/C=C/C(=O)O,IC50,1.4,nM,B,Homo sapiens,Homo sapiens
CHEMBL2048702,CCCCNC(=O)[C@@H](C[C@H](O)[C@@H](N)CN1CC(=O)N(c2ccccc2Cl)CC1(C)C)C(C)C.O=C(O)/C=C/C(=O)O,IC50,1.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1257228,Cc1cc(Cl)c(OCCOc2ccc(CC(CN)c3ccc(-c4ccccc4Cl)cc3)cc2)c(Cl)c1,IC50,44.4,nM,B,Homo sapiens,Homo sapiens
CHEMBL1257350,Cc1cc(Cl)c(OCCOc2ccc(CC(CN)c3ccc(-c4ccccc4Cl)cc3C)cc2)c(Cl)c1,IC50,6.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1256489,COC(=O)CCc1ccccc1-c1ccc(C(CN)Cc2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)c(C)c1,IC50,0.09,nM,B,Homo sapiens,Homo sapiens
CHEMBL1256491,Cc1cc(Cl)c(OCCOc2ccc(CC(CN)c3ccc(-c4ccccc4CCOC(N)=O)cc3C)cc2)c(Cl)c1,IC50,1.02,nM,B,Homo sapiens,Homo sapiens
CHEMBL1256492,CC(=O)NCCc1ccccc1-c1ccc(C(CN)Cc2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)c(C)c1,IC50,9.6,nM,B,Homo sapiens,Homo sapiens
CHEMBL567430,NC1=NC(c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cccnc3F)c2)C2=NOCCN12,IC50,2040.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL567653,NC1=NC(c2ccccc2)(c2cccc(Cc3ccc(F)cc3)c2)C2=NCCCN12,Inhibition,15.0,%,B,Homo sapiens,Homo sapiens
CHEMBL1824647,Cc1ccc(F)cc1Oc1c(C(=O)N2CCNCC2)c2cnc(O)cc2n1-c1ccccc1,IC50,24.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1824645,COc1cc2c(cn1)c(C(=O)N1CCNCC1)c(Cc1cccc(F)c1C)n2-c1ccccc1,IC50,6.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL348587,CC(C)CC(NC(=O)C(Cc1c[nH]cn1)NC(=O)C(CC(=O)N1CCOCC1)Cc1cccc2ccccc12)C(O)C(=O)OC(C)C,IC50,100000.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL52395,CCCCNC(=O)[C@@H](CC(O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)C(C)(OC(=O)C(C)(C)C)c1ccccc1)C(C)C,IC50,20.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL292812,CCCCNC(=O)[C@@H](CC(O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)C(CC(=O)C(C)(C)C)Cc1ccccc1)C(C)C,IC50,6.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL430619,CCCCNC(=O)C(CC(O)C(CC1CCCCC1)NC(=O)Cc1nnc2c(CCC)nc(-c3cccnc3)cn12)C(C)C,IC50,2.7,nM,B,Homo sapiens,Homo sapiens
CHEMBL1910292,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@]2(O)c2ccc(F)c(F)c2)C2CC2)cc(OCCOC)c1,IC50,6.4,nM,B,Homo sapiens,Homo sapiens
CHEMBL1923116,Cc1cccc(CN(C(=O)[C@H]2CNCC[C@@]23OCc2cc(F)c(F)cc23)C2CC2)c1C,IC50,0.11,nM,B,Homo sapiens,Homo sapiens
CHEMBL1923122,COCCCc1cccc2cccc(CN(C(=O)[C@H]3CNCC[C@@]34OCc3cc(F)c(F)cc34)C3CC3)c12,IC50,0.01,nM,B,Homo sapiens,Homo sapiens
CHEMBL1923131,COCCCc1cc(CCCN2CCS(=O)(=O)CC2)c(Cl)c(CN(C(=O)[C@H]2CNCC[C@@]23OCc2cc(F)c(F)cc23)C2CC2)c1,IC50,0.05,nM,B,Homo sapiens,Homo sapiens
CHEMBL1923106,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@]23OCc2ccccc23)C2CC2)cc(OCCOC)c1,IC50,1200.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1923119,COCCCc1cc(C)c(C)c(CN(C(=O)[C@H]2CNCC[C@@]23OCc2cc(F)c(F)cc23)C2CC2)c1,IC50,2.7,nM,B,Homo sapiens,Homo sapiens
CHEMBL2017108,CC(=O)NCCc1ccccc1-c1onc([C@H]2CNCC[C@]2(O)c2ccc(F)c(F)c2)c1C(C)O,IC50,4.3,nM,B,Homo sapiens,Homo sapiens
CHEMBL2017109,CC(=O)NCCc1ccccc1-c1onc([C@H]2CNCC[C@@H]2c2ccc(F)c(F)c2)c1Br,IC50,1.2,nM,B,Homo sapiens,Homo sapiens
CHEMBL3891853,CCC1CCCCN1C(=O)c1ccc(C)nc1NCc1ccco1,Inhibition,86.0,%,B,Homo sapiens,Homo sapiens
CHEMBL3891853,CCC1CCCCN1C(=O)c1ccc(C)nc1NCc1ccco1,IC50,11000.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL3674432,CCOC[C@@H](NC(=O)[C@@H]1CNC[C@H](C(=O)N(c2cc(OC)c(C(C)C)cn2)C2CC2)C1)C1CCCCC1,IC50,0.3,nM,B,Homo sapiens,Homo sapiens
CHEMBL3318954,CCOC[C@@H](CC(C)C)NC(=O)[C@@H]1CNC[C@H](C(=O)N(c2cc(OCC)c(CC)cn2)C2CC2)C1,IC50,0.6,nM,B,Homo sapiens,Homo sapiens
CHEMBL3674438,CCOC[C@H](NC(=O)[C@@H]1CNC[C@H](C(=O)N(c2cc(OCC)c(CC)cn2)C2CC2)[C@@H]1O)C(C)C,IC50,0.6,nM,B,Homo sapiens,Homo sapiens
CHEMBL3354688,CC(C)(C)COc1ccc2c(c1)[C@]1(COC(N)=N1)c1cc(-c3cncnc3)ccc1O2,IC50,3000.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1824499,COCCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@]2(O)c2ccc(F)c(F)c2)C2CC2)c1,IC50,1.2,nM,B,Homo sapiens,Homo sapiens
CHEMBL1910291,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@]2(O)c2ccc(Cl)c(F)c2)C2CC2)cc(OCCOC)c1,IC50,9.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1910289,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@]2(O)c2cccc(F)c2)C2CC2)cc(OCCOC)c1,IC50,479.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1910295,O=C([C@H]1CNCC[C@]1(O)c1ccc(F)c(F)c1)N(Cc1cccc(Cl)c1Cl)C1CC1,IC50,145.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL3321915,COc1ccc(CC(=O)NC(=N)NCc2ccc(C)cc2)cc1OC,IC50,30000.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL3321914,COc1cc(CC(=O)NC(=N)NCc2ccc(Cl)cc2)c([N+](=O)[O-])cc1OC,IC50,30000.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1910305,COCCCn1cc(CN(C(=O)[C@H]2CNCC[C@]2(O)c2ccc(F)c(F)c2)C2CC2)c2c(F)ccc(CN3CCOCC3)c21,IC50,0.4,nM,B,Homo sapiens,Homo sapiens
CHEMBL1910315,O=C([C@H]1CNCC[C@]1(O)c1ccc(F)c(F)c1)N(Cc1cn(Cc2ccccc2)c2cccc(F)c12)C1CC1,IC50,0.05,nM,B,Homo sapiens,Homo sapiens
CHEMBL1910316,O=C([C@H]1CNCC[C@]1(O)c1ccc(F)c(F)c1)N(Cc1cn(Cc2ccccc2OC(F)F)c2cccc(F)c12)C1CC1,IC50,330.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1910319,O=C([C@H]1CNCC[C@]1(O)c1ccc(F)c(F)c1)N(Cc1cn(Cc2cccc(F)c2)c2cccc(F)c12)C1CC1,IC50,4.8,nM,B,Homo sapiens,Homo sapiens
CHEMBL1910545,Cc1ccc(Cn2cc(CN(C(=O)[C@H]3CNCC[C@]3(O)c3ccc(F)c(F)c3)C3CC3)c3c(F)cccc32)cn1,IC50,2.5,nM,B,Homo sapiens,Homo sapiens
CHEMBL1910299,O=C([C@H]1CNCC[C@]1(O)c1ccc(F)c(F)c1)N(Cc1c[nH]c2cccc(Br)c12)C1CC1,IC50,2.1,nM,B,Homo sapiens,Homo sapiens
CHEMBL1910301,COCCCc1ccc(F)c2c(CN(C(=O)[C@H]3CNCC[C@]3(O)c3ccc(F)c(F)c3)C3CC3)c[nH]c12,IC50,6.2,nM,B,Homo sapiens,Homo sapiens
CHEMBL1761532,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCCC(C)(C)C(=O)O)c1,IC50,0.02,nM,B,Homo sapiens,Homo sapiens
CHEMBL2017100,O[C@]1(c2ccc(F)c(F)c2)CCNC[C@@H]1c1onc(-c2cccc3ccccc23)c1Br,IC50,0.06,nM,B,Homo sapiens,Homo sapiens
CHEMBL3318935,COCCCn1cc(CN(C(=O)[C@H]2CNC[C@@H](C(=O)NCCC(C)C)C2)C2CC2)c2ccccc21,IC50,3.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL3318932,CC(C)(C)OC(=O)N[C@@H]1CNC[C@H](C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,200.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL449505,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(OCCOc4cc(F)ccc4Br)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,4.6,nM,B,Homo sapiens,Homo sapiens
CHEMBL449458,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)N(Cc3cccc(Cl)c3)C3CC3)[C@H]3CN(C(C)=O)C[C@@H](C2)N3)cc1,IC50,1.5,nM,B,Homo sapiens,Homo sapiens
CHEMBL503710,NC(=O)CCCC(=O)N1CC2CC(c3ccc(CCCOc4cc(Cl)ccc4Br)cc3)=C(C(=O)N(Cc3ccccc3Cl)C3CC3)C(C1)N2,IC50,56.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL443192,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)N(Cc3cccc(C)c3C)C3CC3)[C@H]3CN(C(C)=O)C[C@@H](C2)N3)cc1,IC50,8.8,nM,B,Homo sapiens,Homo sapiens
CHEMBL449458,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)N(Cc3cccc(Cl)c3)C3CC3)[C@H]3CN(C(C)=O)C[C@@H](C2)N3)cc1,IC50,242.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1790067,CC[C@@H](C)[C@H](NC(=O)[C@@H](CC(O)[C@H](CC(C)C)NC(=O)C(C(=O)Cc1ccccc1)C(O)C(=O)O)C(C)C)C(=O)N(C)c1ccccn1,IC50,1.2,nM,B,Homo sapiens,Homo sapiens
CHEMBL3900382,COCCCn1cc(Cl)c2ccc([C@H](C)N(C(=O)[C@H]3CNCCN3)C3CC3)cc21,IC50,580.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL539164,COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COCc2cccnc2)cc1,IC50,12.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL241663,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCC(F)(F)F)C(=O)[C@](C)(c1cc(F)cc(F)c1)O2,IC50,48.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL3318928,CCOC[C@@H](CC(C)C)NC(=O)[C@@H]1CNC[C@H](C(=O)N(c2ccc(C(C)C)cn2)C2CC2)C1.Cl,IC50,0.9,nM,B,Homo sapiens,Homo sapiens
CHEMBL3318930,Cc1ccc(S(=O)(=O)N[C@@H]2CNC[C@H](C(=O)NC(c3ccccc3)c3ccccc3)C2)cc1,IC50,15200.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL2048563,COCCCOc1ccccc1N1CC(C)(C)N(CC(N)C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)CC1=O.O=C(O)/C=C/C(=O)O,IC50,3.3,nM,B,Homo sapiens,Homo sapiens
CHEMBL1270074,Cc1ccc(F)cc1Oc1c(C(=O)N2CCNCC2)c2ccc(OCCN(C)C)cc2n1-c1ccccc1,IC50,29.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL75510,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)N(C)CCO,IC50,0.98,nM,B,Homo sapiens,Homo sapiens
CHEMBL1639,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,IC50,0.4,nM,B,Homo sapiens,Homo sapiens
CHEMBL305865,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H](NC(=O)N1CCOCC1)C(C)(C)c1ccccc1,IC50,2.6,nM,B,Homo sapiens,Homo sapiens
CHEMBL381568,COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COc2ccc3c(c2)N(CCN2CCOC2=O)CCC3)cc1,IC50,1000.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL2017110,CO[C@]1(c2ccc(F)c(F)c2)CCNC[C@@H]1c1noc(-c2ccccc2CCNC(C)=O)c1Br,IC50,0.17,nM,B,Homo sapiens,Homo sapiens
CHEMBL2017099,O[C@]1(c2ccc(F)c(F)c2)CCNC[C@@H]1c1onc(-c2c(Cl)cccc2Cl)c1Br,IC50,131.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL2017111,CC(=O)NCCc1ccccc1-c1onc([C@H]2CNCC[C@]2(C(N)=O)c2ccc(F)c(F)c2)c1Br,IC50,0.6,nM,B,Homo sapiens,Homo sapiens
CHEMBL2017113,COC[C@H](C)COCc1ccc([C@@]2(O)CCNC[C@@H]2c2noc(-c3ccccc3CCNC(C)=O)c2Br)cc1,IC50,0.26,nM,B,Homo sapiens,Homo sapiens
CHEMBL2023123,CNC[C@@H](NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cccc(Cl)c2)C1)[C@@H](O)C1CCCCC1,IC50,0.15,nM,B,Homo sapiens,Homo sapiens
CHEMBL1910313,Cc1noc(C)c1Cn1cc(CN(C(=O)[C@H]2CNCC[C@]2(O)c2ccc(F)c(F)c2)C2CC2)c2c(F)cccc21,IC50,14.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL3401348,CC(C)[C@]1(C)CC(=O)N(Cc2cccc(C(=O)N[C@@H](C)c3ccccc3)c2)C(=N)N1,Ki,2.2,nM,B,Homo sapiens,Homo sapiens
CHEMBL3400428,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NC2CCC2)C(C)C)ccc1OC,IC50,730.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1818049,COCCCC[C@@](O)(c1cccc(F)c1Oc1ccccc1C)[C@@H]1CCCN(C(=O)[C@@H]2C[C@H](O)[C@H](N)C2)C1,INH,19.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1818071,COCCCC[C@@](O)(c1cccc(Cl)c1-c1cccc(SC)c1)[C@H]1CN(C(=O)[C@@H]2C[C@H](O)[C@H](N)C2)CCO1,IC50,2.3,nM,B,Homo sapiens,Homo sapiens
CHEMBL1818044,COCCCC[C@@](O)(c1ccccc1Oc1ccccc1)[C@@H]1CCCN(C(=O)[C@@H]2CC[C@@H](N)C2)C1,IC50,1437.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1818038,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2ccccc2Oc2ccccc2)C1,IC50,596.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL373264,COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COCc2cccc(C(F)(F)F)c2F)cc1,IC50,270.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL53139,CCCCNC(=O)[C@@H](CC(O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)C(Cc1ccccc1)CS(=O)(=O)C(C)(C)C)C(C)C,IC50,10.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1091040,CNCC(Cc1ccc(CCCOc2c(F)ccc(F)c2Cl)cc1)C(=O)N(Cc1cccc(Cl)c1Cl)C1CC1,IC50,1.9,nM,B,Homo sapiens,Homo sapiens
CHEMBL1093290,COCCCc1cc(Cl)c(Cl)c(CN(C(=O)C(CN)Cc2ccc(CCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,IC50,31.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL508161,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)NCc3ccccc3)[C@H]3CN(C(C)=O)C[C@@H](C2)N3)cc1,IC50,458.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL447104,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(OCCOc4ccccc4)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,590.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL113841,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@H](Cc1ccccc1)CS(=O)(=O)N1CCN(C)CC1,IC50,1.1,nM,B,Homo sapiens,Homo sapiens
CHEMBL449638,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(OCCOc4c(Cl)cc(C)cc4Cl)cc3)=C2C(=O)N(Cc2cccc(C)c2C)C2CC2)C1,IC50,19.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL3400460,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NS(=O)(=O)c2ccc(C)cc2)C(C)C)ccc1OC,IC50,80.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1270376,Cc1c(F)cccc1Cc1c(C(=O)N2CCNCC2)c2cccc(F)c2n1-c1ccccc1,IC50,84.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1270073,Cc1ccc(F)cc1Oc1c(C(=O)N2CCNCC2)c2ccc(C(=O)O)cc2n1-c1ccccc1,IC50,122.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1276281,CCc1nc(N)nc(NCCc2ccccc2NC(=O)c2ccc(N)c(OC)c2)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(C)(C)O2,IC50,340.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1276462,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)C[C@H](C)c1ccccc1,IC50,11.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL32002,COc1ccccc1COCCCOc1ccc([C@H]2CCNC[C@@H]2OCc2ccc3c(c2)NCCC3)cc1,IC50,0.21,nM,B,Homo sapiens,Homo sapiens
CHEMBL3401540,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NS(=O)(=O)CCc2ccccc2)C(C)C)ccc1OC,IC50,20.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL3400427,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NC(C)C)C(C)C)ccc1OC,IC50,1670.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL54655,CC[C@H](C)[C@H](NC(=O)[C@@H](CC(O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)C(C)(OC(=O)C(C)(C)C)c1ccccc1)C(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(N)=O,IC50,20.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1825183,Cc1c(F)cccc1Cc1c(C(=O)N2CCNCC2)c2ccncc2n1-c1ccccc1,IC50,26.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL598290,CCc1cc([C@]2(c3cccc(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cc(CC)n1,Inhibition,26.0,%,B,Homo sapiens,Homo sapiens
